UID,Ack,Age,Gender,Education,WorkStatus,Country,UnderstandingOfPowerGrid,UnderstandingOfPowerGridSecurity,SharedExperience,Experience,PreQ1RemoteAccess,PreQ1RemoteAccessOther,PreQ1RemoteAccessElaborate,PreQ1RemoteAccessElaborateOther,PreQ1FDI,PreQ1FDIOther,PreQ1FDIElabourate,PreQ1FDIElabourateOther,PreQ2DER,PreQ2DEROther,PreQ2DERElabourate,PreQ2DERElabourateOther,PreQ2DERThreat,PreQ2DERThreatOther,PreQ2DERThreatElabourate,PreQ2DERThreatElabourateOther,PreQ3WAMS,PreQ3WAMSOther,PreQ3WAMSElabourate,PreQ3WAMSElabourateOther,PreQ3Attack,PreQ3AttackOther,PreQ3AttackElabourate,PreQ3AttackElabourateOther,PreQ4IEDAttack,PreQ4IEDAttackOther,PreQ4IEDAttackElabourate,PreQ4IEDAttackElabourateOther,PreQ4IEDAttackLine,PreQ4IEDAttackLineOther,PreQ4IEDAttackLineElabourate,PreQ4IEDAttackLineElabourateOther,PostQ1ARPSpoofing,PostQ1ARPSpoofingOther,PostQ1ARPSpoofingElabourate,PostQ1ARPSpoofingElabourateOther,PostQ1ARPImpact,PostQ1ARPImpactOther,PostQ1ARPImpactElabourate,PostQ1ARPImpactElabourateOther,PostQ2BlackEnergy,PostQ2BlackEnergyOther,PostQ2BlackEnergyElabourate,PostQ2BlackEnergyElabourateOther,PostQ2BlackEnergyAttackMethod,PostQ2BlackEnergyAttackMethodOther,PostQ2BlackEnergyAttackMethodElabourate,PostQ2BlackEnergyAttackMethodElabourateOther,PostQ3AMI,PostQ3AMIOther,PostQ3AMIElabourate,PostQ3AMIElabourateOther,PostQ3DataIntegrity,PostQ3DataIntegrityOther,PostQ3DataIntegrityElabourate,PostQ3DataIntegrityElabourateOther,PostQ4ExposedVPN,PostQ4ExposedVPNOther,PostQ4ExposedVPNElabourate,PostQ4ExposedVPNElabourateOther,PostQ4ExposedVPNImpact,PostQ4ExposedVPNImpactOther,PostQ4ExposedVPNImpactElabourate,PostQ4ExposedVPNImpactElabourateOther,post_training,pre_training,Score,totalclicks,Response Type,Start Date (UTC),timetaken,Submit Date (UTC),Network ID,Tags
bbne92azdamzglxhztbbne9xt689zfbt,1,25 - 35 Yrs,Male,Graduate,Employed,Vietnam,1,1,1,worked as intern for a power grid infosecurity team,Identity-based authentication and critical public infrastructure (PKI) methods,,It provides the most robust authentication mechanism,,Anomaly detection methods (Identify suspicious patterns),,It detects unusual patterns that indicate tampering,,Implementation of TLS/SSL for data encryption in transit,,It provides end-to-end encryption,,Regular penetration testing of the network,,It identifies vulnerabilities before exploitation.,,Denial of Service (DoS) attack,,DoS will prevent receiving real time data at control center,,Compromise wired links in between,,"A router is a link between commercial and control systems, exposed to the internet",,CID (Configured IED Description),,ICD file defines the complete capability range of an IED,,PTRC.Tr.General,,PLDF is related to Line differential protection,,Anomaly and Intrusion detection systems,,It directly monitors for signs of intrusion based on anomaly for the baseline,,"Unexpected opening of circuit breakers, leading to instability",,It represents the most immediate and dangerous impact,,Disrupting critical infrastructure operations through DDoS attacks,,It will launch a DDoS attack only,,Social engineering,,It bypasses most conventional security measures,,Utilization of public key infrastructure (PKI) for device authentication,,It secures data from being intercepted during transmission,,Role-based access controls (RBAC) on data endpoints,,It restricts access based on user roles,,Inadequate Operation Technology (OT) equipment security guidelines,,Inadequate guidelines can lead to such problems,,Logs were not analyzed for anomalies,,Security perimeter helps to protect boundaries of a network,,54,47,0,0,completed,4/8/2024 8:22,1:05,4/8/2024 9:28,8c557b93da,
2da3p7cydfketj2da3hicnji1sffithh,1,25 - 35 Yrs,Female,Graduate,Unemployed,India,1,1,0,,Identity-based authentication and critical public infrastructure (PKI) methods,,It effectively restricts access based on job roles,,Anomaly detection methods (Identify suspicious patterns),,It detects unusual patterns that indicate tampering,,Implementation of TLS/SSL for data encryption in transit,,It offers both encryption and reliable data flow,,Deployment of anomaly detection systems at each DER node,,It detects unusual patterns specific to each node.,,Coordinated False Data Injection (FDI) Attack,,False data from multiple devices can cause wrong interference of system state,,Compromise the internet facing Routers,,Physical access to the link is easy to achieve,,ICD (IED Capability Description),,ICD file defines the complete capability range of an IED,,PTRC.Tr.General,,PTRC is related to Protection Trip Conditioning,,Anomaly and Intrusion detection systems,,It directly monitors for signs of intrusion based on anomaly for the baseline,,"Unwanted relay trip delays, causing cascading effects",,It could cause long-term damage to infrastructure,,Disrupting critical infrastructure operations through DDoS attacks,,It creates the maximum damage by exploiting other vulnerable devices,,Phishing emails,,It offers stealthy access to network systems,,Implementing frequency hopping spread spectrum (FHSS),,It prevents interception by rapidly changing transmission frequencies,,Role-based access controls (RBAC) on data endpoints,,It restricts access based on user roles,,Lack of configuration management policy,,The operator did not know what tool could be downloaded or installed,,Logs were not analyzed for anomalies,,Security perimeter helps to protect boundaries of a network,,39,43,0,0,completed,29/7/2024 12:25,1:38,29/7/2024 14:03,cd2059739e,
j81jq18tdiqwgjbis11skknhpzy36bfh,1,18-25 Yrs,Male,Graduate,Studying,Singapore,1,1,1,Taken Cyber Physical Security (CPS) course,IP whitelisting of incoming connections for authorized clients,,It only allows access from pre-approved IP addresses,,Anomaly detection methods (Identify suspicious patterns),,It detects unusual patterns that indicate tampering,,Enforcing IEEE 1815 (DNP3) with secure authentication,,It is specifically designed for utility communications,,Regular penetration testing of the network,,It identifies vulnerabilities before exploitation.,,Man-in-the-Middle (MiTM) Attack,,MiTM can modify data in between communication,,Compromise the internet facing Routers,,"A router is a link between commercial and control systems, exposed to the internet",,CID (Configured IED Description),,CID file contains everything that is needed from SCD to configure an IED,,PLDF.DifAClc.LoSet,,PLDF is related to Line differential protection,,Anomaly and Intrusion detection systems,,It directly monitors for signs of intrusion based on anomaly for the baseline,,Altering of sensed voltage and current measurements by relays,,It poses a direct threat to system stability,,Disrupting critical infrastructure operations through DDoS attacks,,It will launch a DDoS attack only,,Phishing emails,,It bypasses most conventional security measures,,Encryption of data at transit using AES-256,,It secures data from being intercepted during transmission,,Using HMAC (Hash-based Message Authentication Code) for data integrity checks,,It provides a secure method to verify data origin and integrity.,,Lack of configuration management policy,,Inadequate policy can lead to such problems,,"Inadequate authentication, privileges, and access control in the log-analysis tool",,A user should only have the least privileges and permission,,52,50,0,0,completed,29/7/2024 10:41,1:20,29/7/2024 12:01,d2a0727d7b,
g83goj9fa9rml9hkaw9g83goj45stbvz,1,35 - 50 Yrs,Male,Post Graduate,Employed,Singapore,1,1,1,"I work with iTrust which has a CPS Power Testbed, i.e., the Electric Power and Intelligent Control (EPIC) Testbed as part of their world class CPS Testbeds",IP whitelisting of incoming connections for authorized clients,,It only allows access from pre-approved IP addresses,,Anomaly detection methods (Identify suspicious patterns),,It detects unusual patterns that indicate tampering,,Deployment of secure VPN tunnels for remote connections,,It creates a secure channel for remote access,,Deployment of anomaly detection systems at each DER node,,It detects unusual patterns specific to each node.,,Man-in-the-Middle (MiTM) Attack,,MiTM can modify data in between communication,,Compromise one or multiple PMUs,,PMUs may have zero-day vulnerabilities that can be exploited easily.,,ICD (IED Capability Description),,ICD file defines the complete capability range of an IED,,PBDF.DifAClc. rangeC.min.f,,PLDF is related to Line differential protection,,Anomaly and Intrusion detection systems,,It can specifically identify ARP-related anomalies,,"Unexpected opening of circuit breakers, leading to instability",,It poses a direct threat to system stability,,Stealing login credentials and other sensitive data,,It creates the maximum damage by exploiting other vulnerable devices,,Phishing emails,,It exploits human vulnerabilities effectively,,Encryption of data at transit using AES-256,,It secures data from being intercepted during transmission,,Using HMAC (Hash-based Message Authentication Code) for data integrity checks,,It provides a secure method to verify data origin and integrity.,,Inadequate security policy for OT,,Inadequate policy can lead to such problems,,"Inadequate authentication, privileges, and access control in the log-analysis tool",,A user should only have the least privileges and permission,,57,38,0,0,completed,29/7/2024 10:39,0:47,29/7/2024 11:27,74e180edb5,
2topt8165otb1fd1fv6ju2topt8v1xr9,1,18-25 Yrs,Male,Graduate,Employed,Singapore,0,0,,,IP whitelisting of incoming connections for authorized clients,,It only allows access from pre-approved IP addresses,,Secure control methodologies,,It secures commands and controls against unauthorized changes,,Deployment of secure VPN tunnels for remote connections,,It creates a secure channel for remote access,,Continuous monitoring with SIEM (Security Information & Event Management) systems,,It provides real-time threat analysis and response,,Denial of Service (DoS) attack,,DoS will prevent receiving real time data at control center,,Compromise the internet facing Routers,,"A router is a link between commercial and control systems, exposed to the internet",,CID (Configured IED Description),,CID file contains everything that is needed from SCD to configure an IED,,PBDF.DifAClc. rangeC.min.f,,PBDF is related to Bus bar protection,,Anomaly and Intrusion detection systems,,It directly monitors for signs of intrusion based on anomaly for the baseline,,"Unexpected opening of circuit breakers, leading to instability",,It could cause long-term damage to infrastructure,,Creating botnets of compromised devices for further attacks,,It creates the maximum damage by exploiting other vulnerable devices,,Phishing emails,,It exploits human vulnerabilities effectively,,Encryption of data at transit using AES-256,,It secures data from being intercepted during transmission,,Using HMAC (Hash-based Message Authentication Code) for data integrity checks,,It provides a secure method to verify data origin and integrity.,,Inadequate Operation Technology (OT) equipment security guidelines,,Inadequate guidelines can lead to such problems,,Inadequate OT security training and awareness program,,OT security training educates authenticated users on cyber threats,,57,47,0,0,completed,29/7/2024 10:39,0:59,29/7/2024 11:39,6b0000c295,
8q0v7sggksnu5hav8q0voni6ldu2t7is,1,35 - 50 Yrs,Male,Post Graduate,Studying,Singapore,0,0,,,IP whitelisting of incoming connections for authorized clients,,It only allows access from pre-approved IP addresses,,Encryption-based techniques,,It ensures data integrity and confidentiality,,"Use of a protocol (IEC 60870-5, IEC 61850-7-420) with enhanced authentication",,It offers both encryption and reliable data flow,,Deployment of anomaly detection systems at each DER node,,It detects unusual patterns specific to each node.,,Man-in-the-Middle (MiTM) Attack,,MiTM can modify data in between communication,,Compromise the internet facing Routers,,"A router is a link between commercial and control systems, exposed to the internet",,SCD (Station Configuration Description),,SCD file describes the entire substation in detail,,PBDF.DifAClc. rangeC.min.f,,PBDF is related to Bus bar protection,,Algorithms to detect ARP Cache Poisoning,,It can specifically identify ARP-related anomalies,,"Unexpected opening of circuit breakers, leading to instability",,It represents the most immediate and dangerous impact,,,Office Macro,,Enable office Macro to install malware,Phishing emails,,It exploits human vulnerabilities effectively,,Utilization of public key infrastructure (PKI) for device authentication,,It prevents interception by rapidly changing transmission frequencies,,,digital signature,,The use of digital signatures provides data integrity as well as authenticity and confidentiality.,Lack of configuration management policy,,Inadequate policy can lead to such problems,,"Inadequate authentication, privileges, and access control in the log-analysis tool",,A user should only have the least privileges and permission,,37,41,0,0,completed,29/7/2024 10:39,1:00,29/7/2024 11:40,d2a0727d7b,
lw7ktxqfyhpdg9evlw7ktdn4pljd962n,1,25 - 35 Yrs,Male,Doctorate,Employed,Singapore,1,1,1,have experience in using PLC and power systems simulators,Identity-based authentication and critical public infrastructure (PKI) methods,,It provides the most robust authentication mechanism,,Anomaly detection methods (Identify suspicious patterns),,It detects unusual patterns that indicate tampering,,"Use of a protocol (IEC 60870-5, IEC 61850-7-420) with enhanced authentication",,It offers both encryption and reliable data flow,,Continuous monitoring with SIEM (Security Information & Event Management) systems,,It provides real-time threat analysis and response,,Coordinated False Data Injection (FDI) Attack,,False data from multiple devices can cause wrong interference of system state,,Compromise the internet facing Routers,,"A router is a link between commercial and control systems, exposed to the internet",,CID (Configured IED Description),,CID file contains everything that is needed from SCD to configure an IED,,PLDF.DifAClc.LoSet,,PLDF is related to Line differential protection,,Algorithms to detect ARP Cache Poisoning,,It can specifically identify ARP-related anomalies,,Altering of sensed voltage and current measurements by relays,,It compromises the accuracy of critical monitoring data.(,,Identifying and patching vulnerabilities within ICS systems,,It creates the maximum damage by exploiting other vulnerable devices,,Phishing emails,,It is the most direct and forceful approach,,Encryption of data at transit using AES-256,,It secures data from being intercepted during transmission,,Using HMAC (Hash-based Message Authentication Code) for data integrity checks,,It provides a secure method to verify data origin and integrity.,,Inadequate Operation Technology (OT) equipment security guidelines,,Inadequate policy can lead to such problems,,Inadequate OT security training and awareness program,,OT security training educates authenticated users on cyber threats,,44,62,0,0,completed,29/7/2024 10:39,0:58,29/7/2024 11:37,6b0000c295,
z4rpeu3rwd3jof2ljfz4rp59bmwxjp0p,1,25 - 35 Yrs,Male,Doctorate,Employed,Singapore,0,0,,,Identity-based authentication and critical public infrastructure (PKI) methods,,It provides the most robust authentication mechanism,,Encryption-based techniques,,It ensures data integrity and confidentiality,,Deployment of secure VPN tunnels for remote connections,,It creates a secure channel for remote access,,Deployment of anomaly detection systems at each DER node,,It detects unusual patterns specific to each node.,,Denial of Service (DoS) attack,,DoS will prevent receiving real time data at control center,,Compromise one or multiple PMUs,,PMUs may have zero-day vulnerabilities that can be exploited easily.,,CID (Configured IED Description),,CID file contains everything that is needed from SCD to configure an IED,,PTRC.Tr.General,,PTRC is related to Protection Trip Conditioning,,Anomaly and Intrusion detection systems,,It directly monitors for signs of intrusion based on anomaly for the baseline,,Altering of sensed voltage and current measurements by relays,,It compromises the accuracy of critical monitoring data.(,,Stealing login credentials and other sensitive data,,It creates the maximum damage by exploiting other vulnerable devices,,Phishing emails,,It exploits human vulnerabilities effectively,,Utilization of public key infrastructure (PKI) for device authentication,,It ensures that only verified devices can communicate.,,Using HMAC (Hash-based Message Authentication Code) for data integrity checks,,It provides a secure method to verify data origin and integrity.,,Lack of configuration management policy,,Inadequate policy can lead to such problems,,"Inadequate authentication, privileges, and access control in the log-analysis tool",,A user should only have the least privileges and permission,,49,36,0,0,completed,29/7/2024 10:39,0:52,29/7/2024 11:31,6b0000c295,
mynqek79d61aeal24bmynqekn300i9wa,1,25 - 35 Yrs,Female,Doctorate,Employed,Singapore,1,1,0,,Identity-based authentication and critical public infrastructure (PKI) methods,,It provides the most robust authentication mechanism,,Encryption-based techniques,,It ensures data integrity and confidentiality,,"Use of a protocol (IEC 60870-5, IEC 61850-7-420) with enhanced authentication",,It offers both encryption and reliable data flow,,Continuous monitoring with SIEM (Security Information & Event Management) systems,,It provides real-time threat analysis and response,,Man-in-the-Middle (MiTM) Attack,,MiTM can modify data in between communication,,Compromise one or multiple PMUs,,PMUs may have zero-day vulnerabilities that can be exploited easily.,,CID (Configured IED Description),,CID file contains everything that is needed from SCD to configure an IED,,PLDF.DifAClc.LoSet,,PLDF is related to Line differential protection,,Algorithms to detect ARP Cache Poisoning,,It can specifically identify ARP-related anomalies,,"Unexpected opening of circuit breakers, leading to instability",,It poses a direct threat to system stability,,Identifying and patching vulnerabilities within ICS systems,,It just rewrites the firmware without any further damages,,Phishing emails,,It exploits human vulnerabilities effectively,,Encryption of data at transit using AES-256,,It secures data from being intercepted during transmission,,Role-based access controls (RBAC) on data endpoints,,It restricts access based on user roles,,Inadequate Operation Technology (OT) equipment security guidelines,,Inadequate guidelines can lead to such problems,,"Inadequate authentication, privileges, and access control in the log-analysis tool",,A user should only have the least privileges and permission,,52,54,0,0,completed,29/7/2024 10:38,0:58,29/7/2024 11:37,d3c134efea,
5ax7nwg9k8xcspqcl45ax7nrppk5567w,1,25 - 35 Yrs,Male,Post Graduate,Employed,Singapore,1,1,1,Cybersecurity knowledge comes from my masters but about power grid I learned from UG as I did electrical engineering,Determination of specific roles on the system and grouping access privileges to each role (Role-Based Access),,It only allows access from pre-approved IP addresses,,Anomaly detection methods (Identify suspicious patterns),,It detects unusual patterns that indicate tampering,,"Use of a protocol (IEC 60870-5, IEC 61850-7-420) with enhanced authentication",,It offers both encryption and reliable data flow,,Deployment of anomaly detection systems at each DER node,,It detects unusual patterns specific to each node.,,Man-in-the-Middle (MiTM) Attack,,False data from multiple devices can cause wrong interference of system state,,Compromise the internet facing Routers,,PDC physical access is easy as it is not protected by proper authorization,,ICD (IED Capability Description),,SCD file describes the entire substation in detail,,PLDF.DifAClc.LoSet,,RBRF is related to Breaker Failure protection,,Anomaly and Intrusion detection systems,,It directly monitors for signs of intrusion based on anomaly for the baseline,,"Unwanted relay trip delays, causing cascading effects",,It represents the most immediate and dangerous impact,,Stealing login credentials and other sensitive data,,It creates the maximum damage by exploiting other vulnerable devices,,Physical tampering with systems,,It is the most direct and forceful approach,,Utilization of public key infrastructure (PKI) for device authentication,,It ensures that only verified devices can communicate.,,Using HMAC (Hash-based Message Authentication Code) for data integrity checks,,It provides a secure method to verify data origin and integrity.,,Inadequate Operation Technology (OT) equipment security guidelines,,The operator did not know what tool could be downloaded or installed,,Inadequate OT security training and awareness program,,OT security training educates authenticated users on cyber threats,,46,43,0,0,completed,29/7/2024 10:38,1:13,29/7/2024 11:52,6b0000c295,
su9magkz0ir40y8zsu9m3w1fq757mrkn,1,25 - 35 Yrs,Male,Post Graduate,Employed,Singapore,1,1,0,,Identity-based authentication and critical public infrastructure (PKI) methods,,It provides the most robust authentication mechanism,,Redundant data transmission,,It provides multiple data sources for verification,,"Use of a protocol (IEC 60870-5, IEC 61850-7-420) with enhanced authentication",,It offers both encryption and reliable data flow,,Deployment of anomaly detection systems at each DER node,,It detects unusual patterns specific to each node.,,Denial of Service (DoS) attack,,DoS will prevent receiving real time data at control center,,Compromise wired links in between,,Physical access to the link is easy to achieve,,CID (Configured IED Description),,CID file contains everything that is needed from SCD to configure an IED,,PTRC.Tr.General,,PTRC is related to Protection Trip Conditioning,,Anomaly and Intrusion detection systems,,It directly monitors for signs of intrusion based on anomaly for the baseline,,"Unexpected opening of circuit breakers, leading to instability",,It compromises the accuracy of critical monitoring data.(,,Identifying and patching vulnerabilities within ICS systems,,It creates the maximum damage by exploiting other vulnerable devices,,Phishing emails,,It offers stealthy access to network systems,,Encryption of data at transit using AES-256,,It secures data from being intercepted during transmission,,Using HMAC (Hash-based Message Authentication Code) for data integrity checks,,It restricts access based on user roles,,Lack of configuration management policy,,Inadequate guidelines can lead to such problems,,No security perimeter defined,,A user should only have the least privileges and permission,,48,38,0,0,completed,29/7/2024 10:38,1:20,29/7/2024 11:59,6b0000c295,
q3qcm8nq09g0nh53f1wj7qq3qcm8nf00,1,18-25 Yrs,Male,Graduate,Employed,Singapore,1,1,0,,Determination of specific roles on the system and grouping access privileges to each role (Role-Based Access),,It effectively restricts access based on job roles,,Encryption-based techniques,,It ensures data integrity and confidentiality,,Implementation of TLS/SSL for data encryption in transit,,It provides end-to-end encryption,,Regular penetration testing of the network,,It identifies vulnerabilities before exploitation.,,Coordinated False Data Injection (FDI) Attack,,False data from multiple devices can cause wrong interference of system state,,Compromise the internet facing Routers,,"A router is a link between commercial and control systems, exposed to the internet",,SCD (Station Configuration Description),,SCD file describes the entire substation in detail,,RBRF.OpE,,RBRF is related to Breaker Failure protection,,IP whitelisting of incoming connections for authorized clients,,It restricts network access to trusted,,"Unwanted relay trip delays, causing cascading effects",,It represents the most immediate and dangerous impact,,Creating botnets of compromised devices for further attacks,,It just rewrites the firmware without any further damages,,Phishing emails,,It is the most direct and forceful approach,,Utilization of public key infrastructure (PKI) for device authentication,,It ensures that only verified devices can communicate.,,Using HMAC (Hash-based Message Authentication Code) for data integrity checks,,It provides a secure method to verify data origin and integrity.,,Inadequate security policy for OT,,The security team did not know what software was in their inventory,,"Inadequate authentication, privileges, and access control in the log-analysis tool",,A user should only have the least privileges and permission,,47,43,0,0,completed,29/7/2024 10:38,0:56,29/7/2024 11:34,75234400fc,
f7on3vkm9pk1f7on4l6foopielb9z4wz,1,18-25 Yrs,Male,Graduate,Studying,India,1,0,,,Identity-based authentication and critical public infrastructure (PKI) methods,,It provides the most robust authentication mechanism,,Anomaly detection methods (Identify suspicious patterns),,It detects unusual patterns that indicate tampering,,"Use of a protocol (IEC 60870-5, IEC 61850-7-420) with enhanced authentication",,It offers both encryption and reliable data flow,,Continuous monitoring with SIEM (Security Information & Event Management) systems,,It provides real-time threat analysis and response,,Coordinated False Data Injection (FDI) Attack,,False data from multiple devices can cause wrong interference of system state,,Compromise PDC,,Physical access to the link is easy to achieve,,SCD (Station Configuration Description),,SCD file describes the entire substation in detail,,PLDF.DifAClc.LoSet,,PLDF is related to Line differential protection,,IP whitelisting of incoming connections for authorized clients,,It restricts network access to trusted,,"Unwanted relay trip delays, causing cascading effects",,It represents the most immediate and dangerous impact,,Creating botnets of compromised devices for further attacks,,It creates the maximum damage by exploiting other vulnerable devices,,Phishing emails,,It exploits human vulnerabilities effectively,,Utilization of public key infrastructure (PKI) for device authentication,,It restricts device connections to those explicitly allowed,,Using HMAC (Hash-based Message Authentication Code) for data integrity checks,,It provides a secure method to verify data origin and integrity.,,Inadequate security policy for OT,,The operator did not know what tool could be downloaded or installed,,"Inadequate authentication, privileges, and access control in the log-analysis tool",,A user should only have the least privileges and permission,,51,51,0,0,completed,25/7/2024 6:21,0:41,25/7/2024 7:02,6819b1d88f,
y0ls2sqzlct1st5z9oy0ls2szvnnuxz0,1,25 - 35 Yrs,Female,Post Graduate,Studying,India,1,0,,,Determination of specific roles on the system and grouping access privileges to each role (Role-Based Access),,It provides the most robust authentication mechanism,,Encryption-based techniques,,It ensures data integrity and confidentiality,,Deployment of secure VPN tunnels for remote connections,,It creates a secure channel for remote access,,Continuous monitoring with SIEM (Security Information & Event Management) systems,,It provides real-time threat analysis and response,,Time Synchronization Attack,,Time Synchronization is critical for all applications,,Compromise the internet facing Routers,,"A router is a link between commercial and control systems, exposed to the internet",,SCD (Station Configuration Description),,SCD file describes the entire substation in detail,,PTRC.Tr.General,,PTRC is related to Protection Trip Conditioning,,End-to-end encryption and passwords,,It secures data transmission from end to end,,"Alteration of voltage or current setpoints, risking equipment damage",,It poses a direct threat to system stability,,Identifying and patching vulnerabilities within ICS systems,,It creates the maximum damage by exploiting other vulnerable devices,,Phishing emails,,It offers stealthy access to network systems,,Utilization of public key infrastructure (PKI) for device authentication,,It ensures that only verified devices can communicate.,,Role-based access controls (RBAC) on data endpoints,,It restricts access based on user roles,,Inadequate security policy for OT,,The operator did not know what tool could be downloaded or installed,,"Inadequate authentication, privileges, and access control in the log-analysis tool",,Logs are essential to trace back past events,,40,35,0,0,completed,24/7/2024 13:22,0:29,24/7/2024 13:51,5843d4df40,
81o7mlm95v6ovavyy881o7mlyj9zjhgm,1,25 - 35 Yrs,Female,Post Graduate,Employed,India,1,0,,,Determination of specific roles on the system and grouping access privileges to each role (Role-Based Access),,It only allows access from pre-approved IP addresses,,Encryption-based techniques,,It ensures data integrity and confidentiality,,Enforcing IEEE 1815 (DNP3) with secure authentication,,It is specifically designed for utility communications,,Continuous monitoring with SIEM (Security Information & Event Management) systems,,It provides real-time threat analysis and response,,Coordinated False Data Injection (FDI) Attack,,MiTM can modify data in between communication,,Compromise one or multiple PMUs,,"A router is a link between commercial and control systems, exposed to the internet",,CID (Configured IED Description),,CID file contains everything that is needed from SCD to configure an IED,,PTRC.Tr.General,,PTRC is related to Protection Trip Conditioning,,IP whitelisting of incoming connections for authorized clients,,It restricts network access to trusted,,"Unwanted relay trip delays, causing cascading effects",,It represents the most immediate and dangerous impact,,Disrupting critical infrastructure operations through DDoS attacks,,It creates the maximum damage by exploiting other vulnerable devices,,Phishing emails,,It exploits human vulnerabilities effectively,,Encryption of data at transit using AES-256,,It secures data from being intercepted during transmission,,Using HMAC (Hash-based Message Authentication Code) for data integrity checks,,It provides a secure method to verify data origin and integrity.,,Lack of inventory management policy,,Inadequate guidelines can lead to such problems,,Inadequate OT security training and awareness program,,OT security training educates authenticated users on cyber threats,,51,46,0,0,completed,23/7/2024 10:03,1:08,23/7/2024 11:12,d2f02e0ebd,
whc4v7xjvahb426f7rbo7whc4v7xpsdm,1,18-25 Yrs,Male,Graduate,Employed,Singapore,1,1,1,I performed a research project where I explored the use of ML/DNN for anomaly detection (through evaluation on effects of commands sent to a power grid) in power grids.,Determination of specific roles on the system and grouping access privileges to each role (Role-Based Access),,It effectively restricts access based on job roles,,Anomaly detection methods (Identify suspicious patterns),,It detects unusual patterns that indicate tampering,,Implementation of TLS/SSL for data encryption in transit,,It provides end-to-end encryption,,Regular penetration testing of the network,,It identifies vulnerabilities before exploitation.,,Coordinated False Data Injection (FDI) Attack,,False data from multiple devices can cause wrong interference of system state,,Compromise the internet facing Routers,,"A router is a link between commercial and control systems, exposed to the internet",,CID (Configured IED Description),,CID file contains everything that is needed from SCD to configure an IED,,RBRF.OpE,,RBRF is related to Breaker Failure protection,,Algorithms to detect ARP Cache Poisoning,,It can specifically identify ARP-related anomalies,,Altering of sensed voltage and current measurements by relays,,It compromises the accuracy of critical monitoring data.(,,Stealing login credentials and other sensitive data,,It will just steal login credentials,,Phishing emails,,It exploits human vulnerabilities effectively,,Utilization of public key infrastructure (PKI) for device authentication,,It ensures that only verified devices can communicate.,,Using HMAC (Hash-based Message Authentication Code) for data integrity checks,,It provides a secure method to verify data origin and integrity.,,Inadequate security policy for OT,,Inadequate policy can lead to such problems,,Inadequate OT security training and awareness program,,OT security training educates authenticated users on cyber threats,,43,53,0,0,completed,20/7/2024 3:57,0:44,20/7/2024 4:41,d3c134efea,
oc98ln8qkn9rosu508moc988q9byhu3x,1,50 & above,Male,Post Graduate,Employed,Singapore,0,1,0,,IP whitelisting of incoming connections for authorized clients,,It only allows access from pre-approved IP addresses,,Encryption-based techniques,,It ensures data integrity and confidentiality,,"Use of a protocol (IEC 60870-5, IEC 61850-7-420) with enhanced authentication",,It creates a secure channel for remote access,,Periodic updates and patch management.,,It ensures all components are up-to-date,,Man-in-the-Middle (MiTM) Attack,,MiTM can modify data in between communication,,Compromise one or multiple PMUs,,PMUs may have zero-day vulnerabilities that can be exploited easily.,,ICD (IED Capability Description),,IID file defines the configuration of an IED for a specific project.,,PBDF.DifAClc. rangeC.min.f,,RBRF is related to Breaker Failure protection,,Algorithms to detect ARP Cache Poisoning,,It can specifically identify ARP-related anomalies,,Altering of sensed voltage and current measurements by relays,,It compromises the accuracy of critical monitoring data.(,,Disrupting critical infrastructure operations through DDoS attacks,,It creates the maximum damage by exploiting other vulnerable devices,,Social engineering,,It exploits human vulnerabilities effectively,,Encryption of data at transit using AES-256,,It secures data from being intercepted during transmission,,Using HMAC (Hash-based Message Authentication Code) for data integrity checks,,It checks for data corruption during transmission,,Inadequate Operation Technology (OT) equipment security guidelines,,Inadequate guidelines can lead to such problems,,"Inadequate authentication, privileges, and access control in the log-analysis tool",,A user should only have the least privileges and permission,,52,39,0,0,completed,20/7/2024 3:49,0:52,20/7/2024 4:41,d3c134efea,
o7w3n21gooywco7w3n24a6wkvz3b7j4a,1,25 - 35 Yrs,Male,Doctorate,Employed,Singapore,1,1,1,from the presentation,Identity-based authentication and critical public infrastructure (PKI) methods,,It provides the most robust authentication mechanism,,Anomaly detection methods (Identify suspicious patterns),,It detects unusual patterns that indicate tampering,,Deployment of secure VPN tunnels for remote connections,,It creates a secure channel for remote access,,Deployment of anomaly detection systems at each DER node,,It detects unusual patterns specific to each node.,,Man-in-the-Middle (MiTM) Attack,,MiTM can modify data in between communication,,Compromise the internet facing Routers,,"A router is a link between commercial and control systems, exposed to the internet",,ICD (IED Capability Description),,ICD file defines the complete capability range of an IED,,PTRC.Tr.General,,PTRC is related to Protection Trip Conditioning,,Anomaly and Intrusion detection systems,,It directly monitors for signs of intrusion based on anomaly for the baseline,,Altering of sensed voltage and current measurements by relays,,It represents the most immediate and dangerous impact,,Stealing login credentials and other sensitive data,,It creates the maximum damage by exploiting other vulnerable devices,,Physical tampering with systems,,It bypasses most conventional security measures,,Utilization of public key infrastructure (PKI) for device authentication,,It ensures that only verified devices can communicate.,,Using HMAC (Hash-based Message Authentication Code) for data integrity checks,,It provides a secure method to verify data origin and integrity.,,Inadequate security policy for OT,,Inadequate policy can lead to such problems,,"Inadequate authentication, privileges, and access control in the log-analysis tool",,A user should only have the least privileges and permission,,51,40,0,0,completed,20/7/2024 3:49,0:59,20/7/2024 4:48,6b0000c295,
